x,y
0.021465149,0.017559458
0.021465149,0.017559458
0.021353662,0.018674042
0.021353662,0.018674042
0.021036008,0.020670597
0.020535214,0.022444826
0.020535214,0.022444826
0.020535214,0.022444826
0.020823302,0.024434617
0.020823302,0.024434617
0.021557467,0.025164519
0.021557467,0.025164519
0.02221763,0.025112081
0.02221763,0.025112081
0.02221763,0.025112081
0.02221763,0.025112081
0.022479901,0.024207285
0.022479901,0.024207285
0.022479901,0.024207285
0.02326561,0.023517672
0.02326561,0.023517672
0.023610663,0.022284865
0.023610663,0.022284865
0.023610663,0.022284865
0.023598613,0.020856366
0.023598613,0.020856366
0.023303527,0.019467253
0.023303527,0.019467253
0.023523403,0.019001259
0.023356931,0.01792467
0.023356931,0.01792467
0.022842336,0.015850125
0.022842336,0.015850125
0.022842336,0.015850125
0.022169955,0.013602111
0.022169955,0.013602111
0.022176255,0.0120613
0.022176255,0.0120613
0.02203573,0.011318628
0.021258462,0.01094884
0.021258462,0.01094884
0.021258462,0.01094884
0.019842876,0.010968545
0.019842876,0.010968545
0.019842876,0.010968545
0.0190357,0.011337391
0.0190357,0.011337391
0.018339245,0.011844276
0.018339245,0.011844276
0.017701179,0.012163835
0.017701179,0.012163835
0.017284213,0.012714228
0.017284213,0.012714228
0.017578887,0.013345955
0.017578887,0.013345955
0.017578887,0.013345955
0.017987747,0.014043586
0.017987747,0.014043586
0.01817262,0.014341983
0.01817262,0.014341983
0.01817262,0.014341983
0.018077735,0.014505229
0.018077735,0.014505229
0.018077735,0.014505229
0.017518183,0.0146748945
0.017518183,0.0146748945
0.017518183,0.0146748945
0.016715055,0.015091451
0.016715055,0.015091451
0.016715055,0.015091451
0.015806703,0.015153712
0.015806703,0.015153712
0.015806703,0.015153712
0.015806703,0.015153712
0.014989436,0.015467858
0.014989436,0.015467858
0.014989436,0.015467858
0.014722463,0.016052498
0.014722463,0.016052498
0.014632083,0.016638532
0.014632083,0.016638532
0.014632083,0.016638532
0.014465984,0.01636422
0.014465984,0.01636422
0.014244857,0.016097188
0.014244857,0.016097188
0.014244857,0.016097188
0.014244857,0.016097188
0.014372662,0.015609979
0.014372662,0.015609979
0.014372662,0.015609979
0.014509538,0.015226523
0.014509538,0.015226523
0.014509538,0.015226523
0.014509538,0.015226523
0.014529534,0.014535932
0.014529534,0.014535932
0.014529534,0.014535932
0.014397947,0.013889293
0.014397947,0.013889293
0.014397947,0.013889293
0.014397947,0.013889293
0.0144132525,0.013120627
0.0144132525,0.013120627
0.0144132525,0.013120627
0.019523557,0.012898086
0.019523557,0.012898086
0.019523557,0.012898086
0.078816816,0.012466372
0.078816816,0.012466372
0.078816816,0.012466372
0.078816816,0.012466372
0.21625961,0.012254642
0.21625961,0.012254642
0.21625961,0.012254642
0.38800052,0.012467832
0.56190884,0.012803392
0.56190884,0.012803392
0.56190884,0.012803392
0.56190884,0.012803392
0.7177062,0.012774733
0.7177062,0.012774733
0.7177062,0.012774733
0.8450343,0.012425681
0.8450343,0.012425681
0.8450343,0.012425681
0.8450343,0.012425681
0.9409485,0.011517697
0.9409485,0.011517697
0.9409485,0.011517697
1.017498,0.010514788
1.1350609,0.009620937
1.3035446,0.009162876
1.4832717,0.009254521
1.4832717,0.009254521
1.4832717,0.009254521
1.7888864,0.008985288
1.7888864,0.008985288
1.7888864,0.008985288
1.8965374,0.008085235
1.8965374,0.008085235
1.9730365,0.007250492
2.0237663,0.0057084924
2.0237663,0.0057084924
2.0920234,0.0032322162
2.2255342,0.0006321652
2.2255342,0.0006321652
2.3928268,-0.0014945538
2.5608246,-0.003292965
2.711106,-0.0039871284
2.833834,-0.0043990836
2.9266386,-0.005106734
3.0972183,-0.0068427445
3.0972183,-0.0068427445
3.2576907,-0.007116101
3.2576907,-0.007116101
3.4377186,-0.007392341
3.6084816,-0.0077563906
3.7548292,-0.008104635
3.7548292,-0.008104635
3.8697433,-0.0087016
3.9521503,-0.009704674
4.0117745,-0.010856193
4.0117745,-0.010856193
4.1028476,-0.011744727
4.25602,-0.012553735
4.4303455,-0.013341173
4.598155,-0.013842103
4.598155,-0.013842103
4.743903,-0.0139786815
4.8597455,-0.01372042
4.8597455,-0.01372042
4.944443,-0.013637329
5.004097,-0.013347734
5.0874147,-0.013138886
5.0874147,-0.013138886
5.2340503,-0.012720397
5.40757,-0.012463379
5.5766816,-0.011641287
5.7248907,-0.011116757
5.8446355,-0.010694557
5.933339,-0.010873543
5.933339,-0.010873543
5.9960475,-0.010917926
6.0807843,-0.011032044
6.0807843,-0.011032044
6.2288494,-0.010727015
6.404603,-0.010592215
6.5755863,-0.009984454
6.8447657,-0.008360863
6.8447657,-0.008360863
6.932705,-0.007959747
6.993154,-0.007083936
7.0698094,-0.0055629266
7.384405,-0.0028708007
7.384405,-0.0028708007
7.5565896,-0.0021050884
7.5565896,-0.0021050884
7.7089796,-0.0017945925
7.831716,-0.0020696677
7.922726,-0.0025889494
7.9837217,0.0021400605
8.01857,0.060933884
8.034872,0.19691676
8.038658,0.3697415
8.034645,0.5452125
7.997636,0.9904997
7.997636,0.9904997
7.9393497,1.0259001
7.8008847,1.0397809
7.625764,1.0395101
7.4494424,1.030646
7.291654,1.018636
7.163076,1.006443
7.0669723,0.9953335
7.000737,0.98655546
6.9267387,0.9801773
6.79015,0.9759614
6.6178412,0.97333205
6.1675506,0.9736769
6.0735574,0.9734761
6.006729,0.9736844
5.268029,0.97237223
5.147025,0.97239405
4.8930745,0.9717856
4.8930745,0.9717856
4.5598006,0.97232366
4.3905377,0.9729212
4.2442017,0.9744758
4.128246,0.97650343
4.042762,0.9774773
3.9820771,0.9784408
3.8965473,0.9787847
3.7488618,0.9791553
3.575262,0.9799116
3.4061067,0.98110485
3.0505137,0.9831556
2.989298,0.98341966
2.9153657,0.98366123
2.778348,0.98393655
2.4364061,0.983746
2.1584396,0.9838669
1.9953275,0.9856814
1.9069464,0.9882742
1.5807837,0.9921559
1.2593257,0.9936852
0.72250575,0.9942005
0.5447534,0.9941506
-0.06013795,1.1705401
-0.061491717,1.3376584
-0.05574995,1.5121579
-0.046816878,1.6726617
0.053526554,2.0168216
0.19818111,2.036207
0.3745359,2.0406597
0.5501392,2.03602
0.7053978,2.0260727
0.92277867,2.0049086
1.2128072,1.987636
1.984213,1.9850241
2.0854485,1.9857795
2.2454708,1.9866924
2.5934727,1.987363
2.8521018,1.9876554
3.0810268,1.9870198
3.4048753,1.9887213
3.8368976,1.9899057
3.9811442,1.9894552
4.367167,1.9901701
4.691667,1.9909478
4.9760137,1.9931105
5.224532,1.997985
5.721458,2.0013611
5.9826684,1.9993198
6.3579855,1.9952375
6.6825423,1.9902048
7.201839,1.9828614
7.378081,1.982469
7.703974,1.9829782
7.9753294,1.9920816
8.028882,2.3768806
8.017661,2.707665
7.989234,2.9879627
7.6320095,3.036941
7.160583,3.0069437
6.985245,2.987288
6.547953,2.9755301
6.2333884,2.9766986
5.978754,2.982093
5.599418,2.9839802
5.059394,2.9862394
4.9017577,2.9869874
4.4015627,2.987455
4.0448613,2.9897156
3.9148793,2.989529
3.4383006,2.9890356
3.0617545,2.9891455
2.7464008,2.989595
2.3971844,2.990226
2.0398607,2.99079
1.7169852,2.9901245
1.3718601,2.9898221
1.0322996,2.9884818
0.75969553,2.983951
0.41678873,2.9818926
0.051000662,2.9793358
-0.04633965,3.0405436
-0.061219923,3.5206795
-0.041127354,3.8076866
0.017754192,4.0051246
0.31271628,4.0230107
0.7882968,3.9922674
1.0111165,3.9727583
1.4136449,3.9705148
1.7226275,3.9745436
1.9800174,3.980061
2.3727367,3.9857101
2.6958468,3.9892566
3.0730677,3.993533
3.4074018,3.9931872
3.8408554,3.9924214
4.0609493,3.992526
4.5463705,3.9924307
4.8179874,3.9911523
5.0735397,3.9896944
5.5779276,3.9887376
6.5353756,3.9860356
6.6875825,3.9846294
6.8121076,3.9833302
6.905645,3.9826312
7.0670047,3.9829428
7.3976283,3.9836378
7.836015,3.9818716
8.013027,4.0176992
8.02926,4.302698
7.9057426,5.041898
7.758844,5.0474
7.582197,5.0432224
6.561746,4.986374
6.393734,4.987315
6.246484,4.9889984
6.128671,4.9904017
6.042636,4.991601
5.9139714,4.9919066
5.437556,4.987938
5.1584716,4.98254
4.76318,4.978805
4.4133954,4.98009
4.0488043,4.98147
3.7386262,4.980669
3.243363,4.9806814
2.981355,4.9814267
2.5950215,4.981058
2.2712436,4.98208
1.8938985,4.983157
1.5598627,4.984686
1.1219238,4.991903
0.90054303,4.992935
0.58752435,4.991306
0.1442904,4.988895
-0.043901693,5.051763
-0.05961116,5.528828
-0.033827305,5.9061813
0.017926974,6.009183
0.49102476,6.022632
0.7862667,6.000666
0.9606835,5.984471
2.3799927,5.9823375
2.3799927,5.9823375
2.5519605,5.982724
2.7029655,5.983881
2.824275,5.9852004
2.913595,5.98664
3.0806112,5.990543
3.5878558,5.9956217
3.8473947,5.999258
4.0581336,6.0003014
4.5346503,5.9983706
4.810605,5.996807
5.0646696,5.995718
5.569132,5.9933567
5.836886,5.9884896
6.052179,5.9863534
6.8081455,5.9849043
6.902457,5.9842143
7.0604005,5.9821653
7.389891,5.9809513
7.831093,5.979107
